grade_before,grade_after,grade_changed,conf_before,conf_after,pixel_deviation,risk_score,hallucination_risk,id_code,kind,level
3,3,False,0.246,0.299,0.006,0,low,daad7b617f21,exposure,high
3,3,False,0.355,0.375,0.047,0,low,1c5e6cdc7ee1,noise,high
3,3,False,0.36,0.355,0.048,0,low,1e4650743fa2,noise,high
3,3,False,0.363,0.367,0.047,0,low,1da25637859b,noise,high
3,3,False,0.368,0.356,0.047,0,low,247ac63e5510,noise,high
3,3,False,0.318,0.357,0.05,0,low,33e7bf536fc5,noise,high
3,3,False,0.345,0.371,0.045,0,low,36a1e3c780a0,noise,high
3,3,False,0.348,0.373,0.048,0,low,3810040096cb,noise,high
3,3,False,0.36,0.357,0.046,0,low,3abac0961bfd,noise,high
3,3,False,0.366,0.363,0.048,0,low,3ccf96c1dd6d,noise,high
3,3,False,0.362,0.346,0.045,0,low,44271f3cb18f,noise,high
3,3,False,0.343,0.377,0.046,0,low,467b7d9d811c,noise,high
3,3,False,0.366,0.381,0.047,0,low,49419f8d5cb4,noise,high
3,3,False,0.297,0.398,0.047,0,low,4a7dc013e802,noise,high
3,3,False,0.326,0.381,0.05,0,low,4ccfa0b4e96c,noise,high
3,3,False,0.352,0.352,0.045,0,low,52230bbef30e,noise,high
3,3,False,0.347,0.301,0.046,0,low,540e4973829e,noise,high
3,3,False,0.364,0.345,0.048,0,low,555d0bef3c5b,noise,high
3,3,False,0.355,0.344,0.046,0,low,55968f0e63c4,noise,high
3,3,False,0.356,0.346,0.048,0,low,571bbdbf585e,noise,high
3,3,False,0.371,0.378,0.046,0,low,58af2c054ced,noise,high
3,3,False,0.359,0.341,0.045,0,low,5d6239c0fd39,noise,high
3,3,False,0.348,0.365,0.047,0,low,5c8482926a08,noise,high
3,3,False,0.373,0.355,0.047,0,low,5f4a8c074bd5,noise,high
3,3,False,0.373,0.371,0.048,0,low,6363b360aefb,noise,high
3,3,False,0.35,0.342,0.048,0,low,650fbed3fdca,noise,high
3,3,False,0.342,0.356,0.047,0,low,731b19a460ad,noise,high
3,3,False,0.306,0.34,0.046,0,low,76cfe8967f7d,noise,high
3,3,False,0.306,0.366,0.047,0,low,7a12f49e29df,noise,high
3,3,False,0.341,0.362,0.046,0,low,7f60f2a083d3,noise,high
3,3,False,0.352,0.353,0.047,0,low,86b3a7929bec,noise,high
3,3,False,0.362,0.35,0.046,0,low,8aa3c4681542,noise,high
3,3,False,0.322,0.385,0.049,0,low,8af50c9d0a86,noise,high
3,3,False,0.344,0.366,0.047,0,low,8ac0c44bbf24,noise,high
3,3,False,0.372,0.354,0.049,0,low,8d8aca52c07b,noise,high
3,3,False,0.305,0.37,0.048,0,low,8e7981855125,noise,high
3,3,False,0.302,0.383,0.048,0,low,904b03ad5594,noise,high
3,3,False,0.332,0.375,0.046,0,low,97da093947e8,noise,high
3,3,False,0.307,0.362,0.048,0,low,9a326446c431,noise,high
3,3,False,0.355,0.372,0.047,0,low,a015ce4f51ad,noise,high
3,3,False,0.312,0.331,0.045,0,low,a3802934bad7,noise,high
3,3,False,0.333,0.32,0.046,0,low,a963ac561580,noise,high
3,3,False,0.374,0.364,0.048,0,low,ab686895533e,noise,high
3,3,False,0.363,0.358,0.046,0,low,b2b7ccd34cbd,noise,high
3,3,False,0.356,0.356,0.047,0,low,b72a86d61959,noise,high
3,3,False,0.345,0.343,0.047,0,low,b8dab47a260e,noise,high
3,3,False,0.348,0.33,0.047,0,low,ba0107fb1bfd,noise,high
3,3,False,0.37,0.353,0.046,0,low,bd34a0639575,noise,high
3,3,False,0.351,0.394,0.044,0,low,beeca5f14618,noise,high
3,3,False,0.365,0.333,0.044,0,low,be3a7d9e981e,noise,high
3,3,False,0.362,0.338,0.049,0,low,bfd5c0e55420,noise,high
3,3,False,0.354,0.342,0.046,0,low,c2a58b2cfd0b,noise,high
3,3,False,0.364,0.363,0.048,0,low,c261b1aaa828,noise,high
3,3,False,0.365,0.352,0.045,0,low,c5bec7f1e5f3,noise,high
3,3,False,0.322,0.37,0.046,0,low,ca1036496659,noise,high
3,3,False,0.374,0.369,0.045,0,low,ce6f33a81ad5,noise,high
3,3,False,0.356,0.381,0.05,0,low,cff262ed8f4c,noise,high
3,3,False,0.351,0.378,0.045,0,low,d801c0a66738,noise,high
3,3,False,0.361,0.316,0.048,0,low,d844a7252f4e,noise,high
3,3,False,0.365,0.36,0.047,0,low,d99b0f7dd9b9,noise,high
3,3,False,0.339,0.377,0.045,0,low,daad7b617f21,noise,high
